simID	famID	id1	id2	degree	error_type	phi_IBIS	phi_TRUFFLE	phi_IBDseq	phi_clusIBD
sim7801	def7	D	F	1	0.01	0.156753337777226	0.219906821047167	0.208208344714428	0.224011947611123
sim7801	def7	D	F	1	0.05	0.0707250909240433	0.0683334296168094	0.111289027803463	0.216770912269389
sim7801	def7	D	F	1	0.1	0.0546071629399316	0.0544896898029562	0.0861021732221411	0.199103889818558
sim7801	def7	D	F	1	0.2	0.0156253345981082	0.00617265243708939	0.0700293580493291	0.197227309235399
sim7801	def7	D	O	2	0	0.139879079506343	0.139647364830703	0.139199832806371	0.140819527685643
sim7801	def7	D	O	2	0.005	0.13648534494704	0.138969011478093	0.137868245795585	0.140424861500107
sim7801	def7	D	O	2	0.01	0.135976141293382	0.137046138824582	0.131551937283037	0.140636518898848
sim7801	def7	D	O	2	0.05	0.01262069672252	0.0036451265026335	0.0172864106995862	0.135742143435557
sim7801	def7	D	O	2	0.1	0.00168965609461939	NA	0.00211892048999143	0.121658947355036
sim7801	def7	D	O	2	0.2	NA	NA	0.00371389331646666	0.116242502646319
sim7801	def7	D	S	0	0	NA	NA	NA	NA
sim7801	def7	D	S	0	0.005	NA	NA	NA	NA
sim7801	def7	D	S	0	0.01	NA	NA	NA	NA
sim7801	def7	D	S	0	0.05	NA	NA	NA	NA
sim7801	def7	D	S	0	0.1	NA	NA	NA	NA
sim7801	def7	D	S	0	0.2	NA	NA	NA	0.000809814563410373
sim7801	def7	D	T	3	0	0.0593022772957336	0.0598077688457229	0.0597459103821547	0.0606709904679011
sim7801	def7	D	T	3	0.005	0.0589960333031906	0.0595754029863026	0.0567009880560804	0.0604384203155303
sim7801	def7	D	T	3	0.01	0.0578448153398018	0.0583334026035834	0.0563883394100497	0.0603561459332296
sim7801	def7	D	T	3	0.05	0.00571304732476601	0.00271707887068976	0.00789660247360024	0.0567126220705752
sim7801	def7	D	T	3	0.1	NA	NA	0.00138514989504493	0.0521936712111164
sim7801	def7	D	T	3	0.2	NA	NA	0.00134310541562285	0.0456390182302708
sim7801	def7	D	U	4	0	0.0333103191939246	0.029876601933162	0.0296501031553454	0.0294917588336658
sim7801	def7	D	U	4	0.005	0.0315780762707406	0.0274126048524666	0.0253770377972099	0.0293789443924404
sim7801	def7	D	U	4	0.01	0.0295487510078821	0.0271580725130358	0.0252592241719836	0.0293348930301004
sim7801	def7	D	U	4	0.05	0.00237153836474385	NA	0.00122753866541582	0.0281495776004384
sim7801	def7	D	U	4	0.1	NA	NA	0.000498284577630709	0.0229189717265245
sim7801	def7	D	U	4	0.2	NA	NA	NA	0.0241068003416591
sim7801	def7	F	S	0	0	NA	NA	NA	NA
sim7801	def7	F	S	0	0.005	NA	NA	NA	NA
sim7801	def7	F	S	0	0.01	NA	NA	NA	NA
sim7801	def7	F	S	0	0.05	NA	NA	NA	NA
sim7801	def7	F	S	0	0.1	NA	NA	NA	NA
sim7801	def7	F	S	0	0.2	NA	NA	NA	0.00045693062922776
sim7801	def7	O	Q	5	0	0.0104491075642253	0.00694171290206136	0.0110069773251936	0.0107645960733592
sim7801	def7	O	Q	5	0.005	0.00940674960109239	0.00659912265732249	0.0102757648219508	0.0107580918791737
sim7801	def7	O	Q	5	0.01	0.0101910576858409	0.00595553037563871	0.0101838426355722	0.0105923349892962
sim7801	def7	O	Q	5	0.05	NA	NA	0.00266780388005297	0.00871423271897701
sim7801	def7	O	Q	5	0.1	NA	NA	0.00197217231217467	0.00494017226221323
sim7801	def7	O	Q	5	0.2	NA	NA	NA	0.00769581438053691
